Nome,Frequências,Tempos
Reovírus,"665,666,667,776,787,802,1550,832,840,880,1570,1998,2008,2052,2127.5,2489,2490,5000","300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300"
Rinovírus,"952.0,741.0,682.0,320.0,160.0","180,180,180,180,180"
Scopulariopsis Brevic,"1687,","600,"
Staphylococcus Albus,"424,727,786,943,1050","180,180,180,180,180"
Tinea Capitis,"20.0,379.0,727.0,787.0,880.0,5000.0,644.0,766.0,464.0,802.0,1552.0,9999.0,752.0,923.0,3176.0,304.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Tricophyton Mentagrophyte,"311.18,",
Strongyloides Stercoralis,"380,698,752,776,722,738,746,1113","180,180,180,180,180,180,180,180"
Echovírus 9,"2900.0,864.0,790.0,690.0,610.0,470.0,484.0,986.0,644.0,254.0,922.0,788.0,765.0,722.0,625.0,620.0,614.0,613.0,612.0,611.0,610.0,609.0,608.0,607.0,606.0,605.0,604.0,603.0,514.0,461.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Parainfluenza,"952.0,741.0,682.0,320.0,160.0","180,180,180,180,180"
Ameba Meleagridis,"344.0,605.0,510.0,943.0,310.0,333.0,532.0,732.0,769.0,827.0,1522.0,19367.17,964.23,21209.29,1055.95","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Bartonella Quintana,"2900.0,864.0,790.0,690.0,610.0,470.0,484.0,986.0,644.0,254.0,364.0,379.0,645.0,654.0,786.0,840.0,842.0,844.0,846.0,848.0,850.0,857.0,967.0,6878.0,634.0,696.0,716.0,1518.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Bacillus Cereus,"488.0,565.0,672.0,674.0,678.0,773.0,766.0,768.0,776.0,777.0,778.0,822.0,885.0,887.0,7877.0,9687.0,42664.0,42666.0,46668.0,46787.0,4000.0,16655.0,1370.0,1365.0,930.0,900.0,768.0,633.0,500.0,420.0,414.0,400.0,273.0,224.0,129.0,19665.0,89.0,18122.0,49.0,18321.0,64.0,19317.0,38.0,961.0,76.0,912.0,18.0,902.0,27.0,979.0,11.0,8020.0,800.0,683.0,417.0,318.0,432.0,722.0,822.0,1246.0,19168.02,18919.09,18670.15,954.32,941.93,929.53,520.0,2551.0,902.0,1405.0,2655.0,21554.0,2025.0,1830.0,1552.0,1550.0,1246.0,1206.0,880.0,822.0,802.0,787.0,727.0,722.0,489.0,432.0,80.0,20.0,787.0,880.0,802.0,727.0,1552.0,800.0,17375.0,69.0,865.0,8.0,17220.0,11103.0","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Bacteroides Fragilis,"633.0,634.0,635.0,636.0,637.0","180,180,180,180,180"
Candida Robusta,"3176,2642,1403","600,600,600"
Enterococcum Faecium,"686,409,454,5000","600,180,180,180"
Enterococcus Faecium,"686,409,454,5000","600,180,180,180"
O Enterococcum Faecium,"686,409,454,5000","600,180,180,180"
Haemophilus Influenzae,"16728.0,45.0,832.0,86.0","180,180,180,180"
Candida albicans,"414.18,",
Hepatite E,"28,1550,1351,880,802,727,224,317,329,477,922","180,180,180,180,180,180,180,180,180,180,180"
Hepatite D,"28,1550,1351,880,802,727,224,317,329,477,922","180,180,180,180,180,180,180,180,180,180,180"
Influenza A,"952.0,741.0,682.0,320.0,160.0","180,180,180,180,180"
Lactobacillus,"17375.0,69.0,865.0,8.0","180,180,180,180"
Mycobacterium Tuberculosis,"20412.7,1016.29,21508.01,1070.82","180,180,180,180"
Balantidium Coli,"5000,","600,"
Neisseria Meningitidis,"19715.68,981.59,16628.0,88.0,927.0,90.0","180,180,180,180,180,180"
Hepatite A,"28,1550,1351,880,802,727,224,317,329,477,922","180,180,180,180,180,180,180,180,180,180,180"
Proteus Vulgaris,"434.0,594.0,776.0,16131.01,803.12,20562.06,16728.45,16330.16,1023.72,832.86,813.03","180,180,180,180,180,180,180,180,180,180,180"
Malassezia Furfur,"222,225,491,616,700","180,180,180,180,180"
Pseudomonas Aeruginosa,"523.0,557.0,478.0,776.0,660.0,727.0,778.0,787.0,802.0,880.0,727.0,787.0,880.0,174.0,482.0,5311.0,728.0,784.0,880.0,464.0,174.0,482.0,5311.0,174.0,482.0,785.0,1132.0,5311.0,3965.0,405.0,633.0,191.0,178.0,731.0,6646.0,178.0,739.8,2959.4,16579.09,825.42","180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180"
Salmonella Paratyphi B,"1437,1504","600,600"
Micose Oris Candida,"1644.18,",
